source,package_code,package_name,price,cycle_days,data_gb,voice_minutes,sms_count,package_type,description,full_description,registration_syntax,cancellation_syntax,check_syntax,eligibility,renewal_policy,support_hotline,original_link
myvnpt,MI_D20,D20,20000,1,25.0,,,3,25GB Data (hết dung lượng dừng truy cập) Truy cập MyTV Mobile.,"Ưu đãi: 25GB sử dụng trong v&ograve;ng 24 giờ (hết dung lượng dừng truy cập) Miễn phí Data truy cập MyTV Mobile Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước VinaPhone Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói: - Cú pháp hủy: HUY D20 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1731985354419D20 500x500.jpg
myvnpt,KM_DT30,DT30,30000,7,7.0,,,3,7GB Data sử dụng trong 7 ngày,"Ưu đãi: 7GB Data (hết dung lượng tính cước theo quy định) Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước, trả sau (không bao gồm TB Ezcom) - TB đang không đăng ký gói DATA/COMBO chu kỳ từ 1 tháng trở lên Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY DT30 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động: - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080579379DT30@3x.jpg
myvnpt,MI_5G30,5G30,30000,3,7.0,,,3,"- 7GB/ngày (hết lưu lượng, dừng truy cập) - Free data truy cập Tiktok - Miễn phí &gt; 125 kênh truyền h&igrave;nh bao gồm ch&ugrave;m kênh SCTV và kho phim truyện, video trên MyTV","Ưu đãi: - 7GB/ngày (hết lưu lượng, dừng truy cập) - Free data truy cập Tiktok - Miễn phí &gt; 125 kênh truyền h&igrave;nh bao gồm ch&ugrave;m kênh SCTV và kho phim truyện, video trên MyTV Điều kiện đăng ký gói cước: - Thuê bao trả trước/trả sau, bao gồm cả thuê bao EZCom Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY 5G30 gửi 888 Tổng đài hỗ trợ về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/17641232387115G30500x500.png
myvnpt,MI_YOLO35,YOLO35,35000,15,1.0,,,3,- 1GB Data/ngày (hết dung lượng dừng truy cập) - Miễn cước Data truy cập MyTV Mobile,"Ưu đãi: - 1GB Data/ngày (hết dung lượng dừng truy cập) - Miễn cước Data truy cập MyTV Mobile - Chu kỳ 15 ngày Điều kiện đăng ký gói cước: - Thuê bao VinaPhone trả trước/trả sau Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp hủy: HUY YOLO35 gửi 888 Tổng đài hỗ trợ về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1729130220471spotv80 500x500.jpg
myvnpt,MI_DT40SC,DT40SC,40000,7,10.0,,,3,"- 10GB Data (hết lưu lượng, dừng truy cập) - Quyền lợi xem 120 kênh truyền h&igrave;nh đặc sắc bao gồm ch&ugrave;m kênh SCTV và kho nội dung phim truyền, VOD giải trí với hàng ngh&igrave;n video Full HD thuộc các thể loại trên MyTV Mobile.","1. Ưu đãi gói cước - 10GB Data (hết lưu lượng, dừng truy cập) - Quyền lợi xem 120 kênh truyền h&igrave;nh đặc sắc bao gồm ch&ugrave;m kênh SCTV và kho nội dung phim truyền, VOD giải trí với hàng ngh&igrave;n video Full HD thuộc các thể loại trên MyTV Mobile. 2. Điều kiện đăng ký gói cước - Thuê bao VinaPhone trả trước/trả sau hoạt động 2 chiều trên mạng VinaPhone 3. Gia hạn gói cước - Gói cước tự động gia hạn 4. Cách hủy gói cước: - Cú pháp huỷ: HUY DT40SC gửi 888 5. Kiểm tra ưu đãi c&ograve;n lại gói cước: - Cú pháp: DATAKM gửi 888 6. Quy định sử dụng gói cước - Danh sách kênh có thể thay đổi tuỳ theo quy định về bản quyền của nhà cung cấp dịch vụ nội dung. 7. Tổng đài hỗ trợ về dịch vụ di động - Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1748834033084DT40SC500x500.jpg
myvnpt,MI_5G70,5G70,70000,7,8.0,,,3,"- 8GB/ngày (hết lưu lượng, dừng truy cập) - Free data truy cập Tiktok - Miễn phí &gt; 125 kênh truyền h&igrave;nh bao gồm ch&ugrave;m kênh SCTV và kho phim truyện, video trên MyTV","Ưu đãi: - 8GB/ngày (hết lưu lượng, dừng truy cập) - Free data truy cập Tiktok - Miễn phí &gt; 125 kênh truyền h&igrave;nh bao gồm ch&ugrave;m kênh SCTV và kho phim truyện, video trên MyTV Điều kiện đăng ký gói cước: - Thuê bao trả trước/trả sau, bao gồm cả thuê bao EZCom Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY 5G70 gửi 888 Tổng đài hỗ trợ về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/17641236035935G701000x500.png
myvnpt,MI_BIG90,BIG90,90000,30,1.0,,,3,1GB/ngày. Hết dung lượng tốc độ cao dừng truy c&acirc;̣p Internet.,"Ưu đãi: 1GB/ngày (hết dung lượng dừng truy cập) Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước, trả sau Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY BIG90 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080787532Artboard 44@3x.jpg
myvnpt,MI_DT90,DT90,90000,30,15.0,,,3,- 15GB Data (hết dung lượng dừng truy cập),"Ưu đãi: - 15GB Data (hết dung lượng dừng truy cập) Điều kiện đăng ký gói cước: - Toàn bộ thuê bao VinaPhone đang hoạt động (bao gồm cả trả trước, trả sau, không bao gồm thuê bao EzCom) - Thuê bao chưa có các gói COMBO/DATA chu kỳ từ 1 tháng trở lên. Gia hạn gói cước: - Gói cước tự động gia hạn. Quy định sử dụng gói cước - Thời gian cam kết không chuyển mạng giữ số: 18 tháng (540 ngày) tính từ ngày đăng ký gói thành công. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY DT90 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ngliên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080814797Artboard 53@3x.jpg
myvnpt,MI_YOLO90,YOLO90,90000,30,1.5,,,3,- 1.5GB Data/ngày (hết dung lượng dừng truy cập),"Ưu đãi: - 1.5GB Data/ngày (hết dung lượng dừng truy cập) Điều kiện đăng ký gói cước: - Thuê bao VinaPhone kích hoạt mới, h&ograve;a mạng trong v&ograve;ng 30 ngày - Tập thuê bao theo điều kiện tiêu d&ugrave;ng. - Thuê bao chưa có các gói COMBO/DATA chu kỳ từ 1 tháng trở lên Gia hạn gói cước: - Gói cước tự động gia hạn. Quy định sử dụng gói cước - Thời gian cam kết không chuyển mạng giữ số: 18 tháng (540 ngày) tính từ ngày đăng ký gói thành công. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY YOLO90 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ngliên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711081074236Artboard 59@3x.jpg
myvnpt,MI_YOLO100M,YOLO100M,100000,30,1.0,,,3,"1 GB data/ngày (hết dung lượng dừng truy cập). Miễn phí data truy cập các ứng dụng Youtube, Facebook và Tiktok Miễn phí truyền h&igrave;nh MyTV (bao gồm ch&ugrave;m kênh VTVCab)","1. Ưu đãi gói cước - 1 GB data/ngày (hết dung lượng dừng truy cập). - Miễn phí data truy cập các ứng dụng Youtube , Facebook và Tiktok - Miễn phí truyền h&igrave;nh MyTV (bao gồm ch&ugrave;m kênh VTVCab) 2. Điều kiện đăng ký gói cước - Thuê bao Vinaphone kích hoạt mới trong v&ograve;ng 30 ngày kể từ ngày kích hoạt thành công, chưa có các gói COMBO/DATA chu kỳ từ 1 tháng trở lên. - Áp dụng cho thuê bao Vinaphone theo danh sách 3. Gia hạn gói cước - Gói cước tự động gia hạn. 4. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước - Cú pháp tra cứu: DATA gửi 888 - Cú pháp hủy: HUY YOLO100M gửi 888 5. Quy định sử dụng gói cước - Trên thực tế trong quá tr&igrave;nh sử dụng ứng dụng nêu trên, người d&ugrave;ng có khả năng phát sinh lưu lượng Data của một số bên thứ ba như Apple, Facebook, Google,... trong các thao tác đăng nhập, chọn nhạc,... Do đó, thuê bao vẫn có khả năng phát sinh cước data cho các lưu lượng truy cập này. - Thời gian cam kết không chuyển mạng giữ số: 18 tháng (540 ngày) tính từ ngày đăng ký gói thành công. 6. Tổng đài hỗ trợ về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711339389138Artboard 57@3x.jpg
myvnpt,MI_YOLO100SC,YOLO100SC,100000,30,1.0,,,3,"- 1GB/ngày (hết lưu lượng, dừng truy cập) - Truy cập Tiktok, Youtube, Facebook (*) - Quyền lợi xem 120 kênh truyền h&igrave;nh đặc sắc bao gồm ch&ugrave;m kênh SCTV và kho nội dung phim truyền, VOD giải trí với hàng ngh&igrave;n video Full HD thuộc các thể loại trên MyTV Mobile","1. Ưu đãi gói cước - 1GB/ngày (hết lưu lượng, dừng truy cập) - Miễn phí Data truy cập Tiktok, Youtube, Facebook (*) - Quyền lợi xem 120 kênh truyền h&igrave;nh đặc sắc bao gồm ch&ugrave;m kênh SCTV và kho nội dung phim truyền, VOD giải trí với hàng ngh&igrave;n video Full HD thuộc các thể loại trên MyTV Mobile 2. Điều kiện đăng ký gói cước - Thuê bao VinaPhone h&ograve;a mạng mới (bao gồm cả thuê bao EZCOM) đăng ký gói trong v&ograve;ng 30 ngày kể từ ngày kích hoạt thành công. - Thuê bao hiện hữu đủ điều kiện tiêu d&ugrave;ng theo danh sách. 3. Gia hạn gói cước - Gói cước tự động gia hạn 4. Cách hủy gói cước: - Cú pháp huỷ: HUY YOLO100SC gửi 888 5. Kiểm tra ưu đãi c&ograve;n lại gói cước: - Cú pháp: DATA gửi 888 6. Quy định sử dụng gói cước - Đối với thuê bao trả trước, 1 chu kỳ tương ứng với 30 ngày; đối với thuê bao trả sau, 1 chu kỳ tương ứng với 1 tháng dương lịch. - Danh sách kênh có thể thay đổi tuỳ theo quy định về bản quyền của nhà cung cấp dịch vụ nội dung - Trên thực tế trong quá tr&igrave;nh sử dụng ứng dụng nêu trên, người d&ugrave;ng có khả năng phát sinh lưu lượng Data của một số bên thứ ba như Apple, Facebook, Google,... trong các thao tác đăng nhập, chọn nhạc,... Do đó, thuê bao vẫn có khả năng phát sinh cước data cho các lưu lượng truy cập này. 7. Tổng đài hỗ trợ về dịch vụ di động - Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1748834470336YOLO100SC500x500.jpg
myvnpt,MI_BIG120,BIG120,120000,30,2.0,,,3,2GB/ngày (hết dung lượng dừng truy cập),"Ưu đãi: 2GB/ngày (hết dung lượng dừng truy cập). Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước, trả sau Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói: - Cú pháp hủy: HUY BIG120 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080352945Artboard 41@3x.jpg
myvnpt,MI_DT120,DT120,120000,30,20.0,,,3,- 20GB Data (hết dung lượng dừng truy cập),"Ưu đãi: - 20GB Data (hết dung lượng dừng truy cập) Điều kiện đăng ký gói cước: - Toàn bộ thuê bao VinaPhone đang hoạt động (bao gồm cả trả trước, trả sau, không bao gồm thuê bao EzCom) - Thuê bao chưa có các gói COMBO/DATA chu kỳ từ 1 tháng trở lên. Gia hạn gói cước: - Gói cước tự động gia hạn. Quy định sử dụng gói cước - Thời gian cam kết không chuyển mạng giữ số: 18 tháng (540 ngày) tính từ ngày đăng ký gói thành công. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói: - Cú pháp hủy: HUY DT120 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ngliên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080506874Artboard 51@3x.jpg
myvnpt,MI_SODA125,SODA125,125000,30,8.0,,,3,"- 8 GB data/ngày (hết dung lượng dừng truy cập) - Miễn phí data truy cập ứng dụng MyTV Mobile, TikTok và YouTube - Sử dụng dịch vụ MyTV addon VTVcab - Tài khoản sử dụng nội dung giáo dục trên website https://cambridge.vn","Ưu đãi: - 8 GB data/ngày (hết dung lượng dừng truy cập) - Miễn phí data truy cập ứng dụng MyTV Mobile, TikTok và YouTube - Sử dụng dịch vụ MyTV addon VTVcab - Tài khoản sử dụng nội dung giáo dục trên website https://cambridge.vn Điều kiện đăng ký gói cước: - Thuê bao di động VinaPhone trả trước đang hoạt động, đăng ký gói trong v&ograve;ng 30 ngày từ ngày thuê bao được kích hoạt - Thuê bao di động VinaPhone trả trước theo danh sách Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói: - Cú pháp hủy: HUY SODA125 gửi 888 Quy định sử dụng gói cước - Trên thực tế trong quá tr&igrave;nh sử dụng ứng dụng nêu trên, người d&ugrave;ng có khả năng phát sinh lưu lượng Data của một số bên thứ ba như Apple, Messenger, Google,... trong các thao tác đăng nhập, chọn nhạc,... Do đó, thuê bao vẫn có khả năng phát sinh cước data cho các lưu lượng truy cập này. Link tải ứng dụng và hướng dẫn sử dụng - Link tải ứng dụng MyTV Mobile: CLICK V&Agrave;O Đ&Acirc;Y Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1731922956386SODA125 500x500.jpg
